DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008-1-1-35,2008,1,1,2,35.0,40,451.0,500,1650,136.0,140.0,117.0,-9.0,-5.0,1055,8.0,11.0,0,0,,,,,
2008-1-1-36,4016,2,2,4,72.0,2285,874.0,3103,3419,302.0,318.0,255.0,91.0,107.0,2216,13.0,34.0,0,0,0.0,0.0,0.0,0.0,98.0
2008-1-1-37,6024,3,3,6,111.0,4514,1782.0,1487,5590,571.0,633.0,497.0,175.0,237.0,4379,38.0,36.0,0,0,49.0,0.0,0.0,0.0,138.0
2008-1-1-38,4016,2,2,4,76.0,2090,643.0,2670,6353,267.0,280.0,230.0,213.0,226.0,1847,7.0,30.0,0,0,0.0,0.0,0.0,0.0,214.0
2008-1-1-39,4016,2,2,4,78.0,4675,965.0,768,1082,347.0,353.0,307.0,117.0,123.0,2635,15.0,25.0,0,0,78.0,0.0,9.0,0.0,30.0
2008-1-1-4,24096,12,12,24,3560.0,12504,6400.0,10725,12955,1780.0,1881.0,1517.0,315.0,416.0,11957,91.0,172.0,0,0,20.0,31.0,21.0,0.0,320.0
2008-1-1-40,2008,1,1,2,40.0,40,619.0,640,1823,219.0,240.0,204.0,-21.0,0.0,1874,6.0,9.0,0,0,,,,,
2008-1-1-44,2008,1,1,2,44.0,45,556.0,612,1816,192.0,207.0,172.0,-16.0,-1.0,1587,6.0,14.0,0,0,,,,,
2008-1-1-45,4016,2,2,4,90.0,2374,779.0,736,3488,289.0,322.0,250.0,43.0,76.0,2030,11.0,28.0,0,0,0.0,0.0,31.0,0.0,0.0
2008-1-1-46,2008,1,1,2,46.0,53,551.0,602,596,185.0,189.0,168.0,-11.0,-7.0,1426,5.0,12.0,0,0,,,,,
2008-1-1-49,8032,4,4,8,196.0,2519,1913.0,1847,2396,697.0,708.0,614.0,26.0,37.0,4829,19.0,64.0,0,0,17.0,0.0,24.0,0.0,0.0
2008-1-1-5,570272,284,284,568,153810.0,168790,219919.0,228795,686108,35844.0,34945.0,28630.0,404.0,-500.0,191160,2199.0,5067.0,0,1,212.0,31.0,1042.0,14.0,345.0
2008-1-1-51,4016,2,2,4,102.0,2459,1359.0,1272,442,497.0,493.0,456.0,47.0,43.0,3676,14.0,27.0,0,0,32.0,0.0,0.0,0.0,10.0
2008-1-1-53,2008,1,1,2,53.0,55,628.0,624,98,215.0,209.0,180.0,4.0,-2.0,1626,15.0,20.0,0,0,,,,,
2008-1-1-54,4016,2,2,4,108.0,2105,933.0,2953,720,345.0,368.0,295.0,220.0,243.0,2518,14.0,36.0,0,0,0.0,0.0,0.0,0.0,223.0
2008-1-1-55,6024,3,3,6,165.0,2384,2010.0,1819,2769,665.0,695.0,605.0,111.0,141.0,5270,18.0,42.0,0,0,0.0,0.0,0.0,0.0,137.0
2008-1-1-56,2008,1,1,2,56.0,2136,252.0,2300,1065,116.0,84.0,66.0,232.0,200.0,488,5.0,45.0,0,0,0.0,200.0,32.0,0.0,0.0
2008-1-1-57,2008,1,1,2,57.0,2120,231.0,2259,383,154.0,159.0,134.0,212.0,217.0,957,7.0,13.0,0,0,0.0,0.0,0.0,0.0,212.0
2008-1-1-6,1754992,874,874,1748,550357.0,561209,763789.0,767868,1905723,124689.0,121799.0,100876.0,2542.0,-452.0,691644,8000.0,15898.0,0,4,1186.0,337.0,4835.0,34.0,175.0
2008-1-1-7,2012016,1002,1002,2004,729243.0,730982,972659.0,979113,1918170,148140.0,146966.0,121996.0,3515.0,2221.0,860223,8689.0,17570.0,0,6,2856.0,388.0,4553.0,46.0,253.0
2008-1-1-8,2100368,1046,1046,2092,864109.0,871563,1115352.0,1115143,1993963,157059.0,156740.0,130345.0,6505.0,5706.0,919006,7853.0,18913.0,0,3,4464.0,1077.0,3993.0,62.0,1218.0
2008-1-1-9,2160608,1076,1076,2152,999306.0,995086,1230440.0,1223848,2274864,145644.0,146182.0,119101.0,6499.0,6900.0,828119,7844.0,18714.0,0,1,3642.0,1343.0,3938.0,0.0,2113.0
2008-1-1-n,1112432,554,554,1108,,755502,,847297,1922947,,60896.0,,,,302299,,,554,0,,,,,
2008-1-10-1,26104,13,130,52,1353.0,12291,6378.0,10372,23445,2045.0,2101.0,1770.0,486.0,542.0,14708,79.0,196.0,0,0,240.0,0.0,22.0,0.0,265.0
2008-1-10-10,2463816,1227,12270,4908,1262248.0,1260141,1534673.0,1533645,2783214,154836.0,157084.0,127101.0,2082.0,4267.0,889852,7637.0,20123.0,0,2,2771.0,381.0,3066.0,47.0,2131.0
2008-1-10-11,2558192,1274,12740,5096,1438119.0,1433627,1711850.0,1709699,2753823,162795.0,165392.0,135174.0,3274.0,5612.0,937438,7800.0,19847.0,0,2,2477.0,302.0,3563.0,0.0,3300.0
2008-1-10-12,2381488,1186,11860,4744,1457630.0,1447917,1711353.0,1705330,2651562,147526.0,150313.0,121892.0,4122.0,6793.0,842911,7950.0,17699.0,0,1,3608.0,365.0,3163.0,0.0,3232.0
2008-1-10-13,2580280,1285,12850,5140,1708406.0,1696601,1991915.0,1985352,2939665,157866.0,160811.0,129214.0,5738.0,8525.0,902892,8418.0,20274.0,0,2,3864.0,261.0,3451.0,150.0,3488.0
2008-1-10-14,2389520,1190,11900,4760,1702779.0,1692070,1947498.0,1938889,2692749,147219.0,149359.0,121073.0,5409.0,7549.0,825029,7762.0,18384.0,0,0,3714.0,216.0,3165.0,206.0,3057.0
2008-1-10-15,2415624,1203,12030,4812,1836019.0,1821836,2071877.0,2058028,2738782,146570.0,147872.0,119070.0,11019.0,12303.0,803176,7933.0,19589.0,0,1,5006.0,1085.0,3507.0,12.0,5758.0
2008-1-10-16,2530080,1260,12600,5040,2053873.0,2038312,2285982.0,2274753,2809402,157699.0,159541.0,127890.0,9461.0,11201.0,867304,8829.0,20990.0,0,1,4017.0,656.0,3885.0,10.0,5451.0
