DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-9-17-2,28056,126,238,70,3141.0,23733,5729.0,24183,19565,1428.0,1610,1179.0,3306.0,3488.0,8659,70,176,0,0,313,98,0,0,2903
2004-9-17-20,1855704,8334,15742,4630,1876798.0,1842474,1928067.0,1957830,1975294,106669.0,105316,82463.0,23774.0,22484.0,585428,6536,16724,0,1,4646,4051,9082,18,8024
2004-9-17-21,1286568,5778,10914,3210,1358175.0,1324916,1245085.0,1299338,1312881,78687.0,78942,65501.0,23012.0,23019.0,469951,3631,10430,0,4,3474,4375,7674,0,8523
2004-9-17-22,905808,4068,7684,2260,1004250.0,967189,674461.0,844408,874507,54773.0,55159,41786.0,23486.0,23421.0,334415,5434,7964,0,3,4154,1937,3394,0,14234
2004-9-17-23,378756,1701,3213,945,439788.0,415953,92643.0,230108,414774,25379.0,26455,12143.0,12371.0,12646.0,171638,11166,3135,0,3,1948,1452,1352,0,7666
2004-9-17-24,12024,54,102,30,9663.0,11327,3827.0,3258,12823,664.0,711,-706.0,329.0,376.0,4222,1460,89,0,0,50,18,15,0,288
2004-9-17-25,2004,9,17,5,25.0,2225,125.0,2330,1343,60.0,65,43.0,115.0,120.0,283,5,12,0,0,55,0,0,0,60
2004-9-17-26,6012,27,51,15,78.0,4085,1083.0,5045,3844,425.0,420,351.0,478.0,473.0,2647,22,52,0,0,0,0,0,0,467
2004-9-17-27,2004,9,17,5,27.0,30,616.0,629,1566,229.0,239,208.0,-13.0,-3.0,1874,8,13,0,0,0,0,0,0,0
2004-9-17-28,6012,27,51,15,84.0,1518,1202.0,2701,1641,438.0,463,383.0,541.0,566.0,3199,18,37,0,0,549,0,0,0,0
2004-9-17-29,4008,18,34,10,58.0,3935,333.0,4183,2682,155.0,168,110.0,550.0,563.0,772,10,35,0,0,115,0,264,0,171
2004-9-17-3,12024,54,102,30,988.0,8861,2361.0,8098,6024,733.0,797,618.0,903.0,967.0,4855,33,81,0,0,0,0,0,0,922
2004-9-17-30,2004,9,17,5,30.0,1930,135.0,2100,1029,65.0,90,43.0,275.0,300.0,213,4,17,0,0,0,0,0,0,275
2004-9-17-33,2004,9,17,5,33.0,1840,146.0,2000,1734,73.0,80,60.0,346.0,353.0,326,6,7,0,0,0,0,0,0,346
2004-9-17-34,2004,9,17,5,34.0,2110,139.0,2230,1743,65.0,80,48.0,189.0,204.0,326,4,12,0,0,0,0,0,0,189
2004-9-17-35,10020,45,85,25,175.0,8770,1775.0,5658,10903,720.0,768,634.0,557.0,605.0,5287,29,57,0,0,42,0,0,0,503
2004-9-17-37,2004,9,17,5,37.0,2105,211.0,2250,1253,94.0,105,73.0,201.0,212.0,515,4,17,0,0,0,0,0,0,201
2004-9-17-38,2004,9,17,5,38.0,45,448.0,457,1197,190.0,192,175.0,-9.0,-7.0,1449,5,10,0,0,0,0,0,0,0
2004-9-17-39,4008,18,34,10,78.0,85,1158.0,1214,662,400.0,409,359.0,-16.0,-7.0,3125,9,32,0,0,0,0,0,0,0
2004-9-17-4,4008,18,34,10,457.0,2817,614.0,2962,6057,137.0,165,100.0,12.0,40.0,756,15,22,0,0,23,0,0,0,0
2004-9-17-40,6012,27,51,15,120.0,6796,427.0,2377,16519,187.0,221,135.0,290.0,324.0,775,14,38,0,0,99,191,0,0,0
