DayOfWeek,Time,Year,Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2,19,2004.0,6.558549316054716,15.998722102231822,1925.6360691144707,1906.138588912887,2072.5707943840907,2067.661105111591,2086.915298776098,117.00086620709568,117.44512239020878,93.28357454794818,12.184538203342116,12.60658747300216,645.2873830093592,6.972732181425486,17.97197624190065,0.0,0.0026277897768178546,2.918142548596112,1.1459683225341972,6.322498200143989,0.016612670986321094,5.450665946724262
2,2,2004.0,7.328671328671328,17.576923076923077,182.33916083916083,1112.4160839160838,575.5594405594405,804.5769230769231,709.3181818181819,185.94755244755245,190.9020979020979,165.14335664335664,76.2972027972028,81.25174825174825,1355.5104895104896,6.458041958041958,18.748251748251747,0.0,0.0,26.61888111888112,3.734265734265734,3.804195804195804,0.12937062937062938,46.16433566433567
2,20,2004.0,6.66132132008018,15.986588415201174,2026.23866008142,2003.7741522183878,2111.289321072035,2120.2938769605917,2143.1310160980347,111.74853982850752,113.1083465933748,91.66991839608964,13.925583033014373,15.300985720485214,623.4637432580439,6.630902440536463,16.686201979706972,0.0,0.0022524849662127256,3.4069971688950424,1.4914136926287946,5.557727676634085,0.019714409704283856,7.007253414891199
2,21,2004.0,6.618651380670611,16.105091222879686,2122.3224235700195,2090.8618404832346,1963.2991387028062,2036.2555473372781,2114.7772127712033,116.15864538634891,118.34550665680473,93.77035161917698,17.729818170592413,19.954635108481263,692.135016025641,9.027921597633137,15.497133875739644,0.0,0.0016950197238658777,4.359190088757397,1.6322423570019724,4.959627712031558,0.030294625246548322,10.034886587771203
2,22,2004.0,6.645157954604208,16.134170932216534,2219.7396204953207,2178.558295848198,1556.8281452322992,1764.438550230081,2105.06064836358,122.00393639612575,124.50493769712011,95.654115087792,23.025534780131558,25.63130138048705,773.9677369319063,15.257742619306137,15.42624476500698,0.0,0.0017579235820278166,6.279406442272892,2.556175999172742,4.155007497027041,0.030194922703066025,13.13215449046068
2,23,2004.0,6.718315156073712,16.419581296226653,2313.9245330324684,2243.178763946346,635.2706030150754,990.985583552714,2132.878776482387,152.51896984924622,155.61426601479252,64.85125628140703,35.08354271356784,38.3476244202081,1068.063432368058,78.10856211608375,15.179516108812837,0.0,0.0021311269900965274,8.611132004512974,5.748401654757427,4.241068070703272,0.07722201328820359,19.68221135765325
2,24,2004.0,7.473029045643154,14.850622406639005,1896.6265560165975,1904.0497925311204,1415.2175732217572,1100.1286307053942,2806.1867219917012,137.44769874476987,141.05809128630705,-540.163179916318,74.67782426778243,78.82157676348548,920.804979253112,662.6182572614108,14.759336099585063,0.0,0.008298755186721992,19.09128630705394,30.597510373443985,8.489626556016598,0.0,16.477178423236513
2,25,2004.0,7.795918367346939,15.918367346938776,789.234693877551,1306.8979591836735,1125.7113402061855,1059.8163265306123,2252.5102040816328,152.1443298969072,156.79591836734693,-290.5773195876289,74.61855670103093,83.15306122448979,1078.2755102040817,431.0,12.89795918367347,0.0,0.01020408163265306,14.020408163265307,35.795918367346935,7.918367346938775,0.0,19.122448979591837
2,26,2004.0,7.2745098039215685,16.313725490196077,332.5686274509804,828.5490196078431,782.7647058823529,1139.4313725490197,1733.0588235294117,180.0,181.07843137254903,-1.6470588235294117,67.6470588235294,68.72549019607843,1311.6078431372548,175.7843137254902,16.45098039215686,0.0,0.0,21.54901960784314,21.0,5.196078431372549,0.0196078431372549,25.725490196078432
2,27,2004.0,7.3,18.25,27.0,993.2333333333333,491.71666666666664,981.25,1353.3333333333333,213.71666666666667,189.01666666666668,196.56666666666666,67.13333333333334,42.43333333333333,1388.8166666666666,5.766666666666667,17.383333333333333,0.0,0.0,23.3,10.8,6.95,0.0,29.066666666666666
